Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"765,389,662.40",6.15,"765,389,662.40","3,953,459.00",193.6,United States,NASDAQ,USD,1,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"747,374,751.72",6.01,"747,374,751.72","1,995,234.00",374.58,United States,NASDAQ,USD,1,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"370,567,139.34",2.98,"370,567,139.34","2,415,377.00",153.42,United States,NASDAQ,USD,1,--
NVDA,NVIDIA CORP,Information Technology,Equity,"311,057,842.60",2.5,"311,057,842.60","637,022.00",488.3,United States,NASDAQ,USD,1,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"225,414,934.99",1.81,"225,414,934.99","1,593,151.00",141.49,United States,NASDAQ,USD,1,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"209,556,382.71",1.68,"209,556,382.71","592,989.00",353.39,United States,NASDAQ,USD,1,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"192,049,598.08",1.54,"192,049,598.08","1,345,639.00",142.72,United States,NASDAQ,USD,1,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"186,804,848.16",1.5,"186,804,848.16","739,704.00",252.54,United States,NASDAQ,USD,1,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"174,999,321.81",1.41,"174,999,321.81","490,923.00",356.47,United States,New York Stock Exchange Inc.,USD,1,--
AVGO,BROADCOM INC,Information Technology,Equity,"129,680,692.36",1.04,"129,680,692.36","115,582.00","1,121.98",United States,NASDAQ,USD,1,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"129,661,252.00",1.04,"129,661,252.00","249,200.00",520.31,United States,New York Stock Exchange Inc.,USD,1,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"129,547,512.00",1.04,"129,547,512.00","773,880.00",167.4,United States,New York Stock Exchange Inc.,USD,1,--
LLY,ELI LILLY,Health Care,Equity,"129,410,653.59",1.04,"129,410,653.59","226,881.00",570.39,United States,New York Stock Exchange Inc.,USD,1,--
XOM,EXXON MOBIL CORP,Energy,Equity,"110,599,661.88",0.89,"110,599,661.88","1,085,268.00",101.91,United States,New York Stock Exchange Inc.,USD,1,--
V,VISA INC CLASS A,Financials,Equity,"110,516,038.92",0.89,"110,516,038.92","427,644.00",258.43,United States,New York Stock Exchange Inc.,USD,1,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"100,443,172.38",0.81,"100,443,172.38","646,103.00",155.46,United States,New York Stock Exchange Inc.,USD,1,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"94,401,267.20",0.76,"94,401,267.20","222,592.00",424.1,United States,New York Stock Exchange Inc.,USD,1,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"93,467,088.11",0.75,"93,467,088.11","268,129.00",348.59,United States,New York Stock Exchange Inc.,USD,1,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"91,694,053.12",0.74,"91,694,053.12","631,154.00",145.28,United States,New York Stock Exchange Inc.,USD,1,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"79,768,618.40",0.64,"79,768,618.40","118,774.00",671.6,United States,NASDAQ,USD,1,--
ADBE,ADOBE INC,Information Technology,Equity,"73,550,450.00",0.59,"73,550,450.00","122,840.00",598.75,United States,NASDAQ,USD,1,--
MRK,MERCK & CO INC,Health Care,Equity,"73,340,361.30",0.59,"73,340,361.30","680,969.00",107.7,United States,New York Stock Exchange Inc.,USD,1,--
